"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
353,"PCLN","priceline.com Incorporated","Services","Business Services","USA",50203.16,32.53,989.03,-0.91%,1054108
354,"PCP","Precision Castparts Corp.","Industrial Goods","Metal Fabrication","USA",33612.84,22.28,229.91,-1.25%,646073
355,"PDCO","Patterson Companies Inc.","Services","Medical Equipment Wholesale","USA",4085.53,19.92,40.44,2.15%,1315141
356,"PEG","Public Service Enterprise Group Inc.","Utilities","Diversified Utilities","USA",16806.00,13.78,33.22,0.67%,2220301
357,"PEP","Pepsico, Inc.","Consumer Goods","Beverages - Soft Drinks","USA",123066.00,18.75,79.50,0.72%,5276187
358,"PETM","PetSmart, Inc.","Services","Specialty Retail, Other","USA",7440.82,18.58,71.91,-2.96%,2025369
359,"PFE","Pfizer Inc.","Healthcare","Drug Manufacturers - Major","USA",199218.19,19.24,28.29,0.18%,31424752
360,"PFG","Principal Financial Group Inc.","Financial","Asset Management","USA",12363.96,15.57,42.04,0.79%,1310210
361,"PG","Procter & Gamble Co.","Consumer Goods","Personal Products","USA",211320.08,19.94,76.95,0.81%,8462689
362,"PGR","Progressive Corp.","Financial","Property & Casualty Insurance","USA",15904.74,13.82,26.53,-0.26%,4291143
363,"PH","Parker Hannifin Corporation","Industrial Goods","Industrial Equipment & Components","USA",15522.51,16.66,103.97,-0.30%,1042610
364,"PHM","PulteGroup, Inc.","Industrial Goods","Residential Construction","USA",6004.36,20.50,15.58,-0.06%,10720314
365,"PKI","PerkinElmer Inc.","Healthcare","Medical Laboratories & Research","USA",4053.52,57.67,36.33,-0.98%,568136
366,"PLD","Prologis, Inc.","Financial","REIT - Industrial","USA",18182.46,,37.41,-0.27%,2503689
367,"PLL","Pall Corp.","Industrial Goods","Diversified Machinery","USA",8428.48,26.07,75.07,-0.57%,487752
368,"PM","Philip Morris International, Inc.","Consumer Goods","Cigarettes","USA",137264.97,16.31,84.16,-2.07%,7302299
369,"PNC","PNC Financial Services Group Inc.","Financial","Money Center Banks","USA",37419.36,10.63,70.87,-0.10%,2049156
370,"PNR","Pentair, Inc.","Industrial Goods","Industrial Equipment & Components","USA",12893.98,,63.80,-0.05%,667847
371,"PNW","Pinnacle West Capital Corporation","Utilities","Electric Utilities","USA",6034.71,14.22,54.88,0.11%,622667
372,"POM","Pepco Holdings, Inc.","Utilities","Electric Utilities","USA",4599.03,,18.47,0.71%,1631645
373,"PPG","PPG Industries Inc.","Basic Materials","Specialty Chemicals","USA",23299.63,21.72,162.48,-0.20%,1115429
374,"PPL","PPL Corporation","Utilities","Electric Utilities","USA",17695.02,12.10,30.00,-0.10%,5609669
375,"PRGO","Perrigo Co.","Healthcare","Drug Related Products","USA",12085.39,27.44,128.43,0.20%,863133
376,"PRU","Prudential Financial, Inc.","Financial","Life Insurance","USA",35266.96,,75.99,0.00%,1891698
377,"PSA","Public Storage","Financial","REIT - Diversified","USA",27810.11,36.25,162.04,0.12%,348388
378,"PSX","Phillips 66","Basic Materials","Oil & Gas Refining & Marketing","USA",35229.24,7.71,56.90,0.02%,3466176
379,"PVH","PVH Corp.","Consumer Goods","Textile - Apparel Clothing","USA",9595.33,39.85,117.97,0.24%,969323
380,"PWR","Quanta Services, Inc.","Industrial Goods","General Contractors","USA",5792.91,18.02,27.03,-0.07%,1547167
381,"PX","Praxair Inc.","Basic Materials","Chemicals - Major Diversified","USA",35190.40,21.25,119.02,1.08%,1022542
382,"PXD","Pioneer Natural Resources Co.","Basic Materials","Independent Oil & Gas","USA",26133.78,223.54,190.01,-1.06%,1748086
383,"QCOM","QUALCOMM Incorporated","Technology","Communication Equipment","USA",113481.17,17.48,65.71,-0.96%,11042619
384,"QEP","QEP Resources, Inc.","Basic Materials","Oil & Gas Pipelines","USA",5070.60,34.49,28.28,0.60%,3876380
385,"R","Ryder System, Inc.","Services","Rental & Leasing Services","USA",2954.49,13.32,57.43,-0.24%,463259
386,"RAI","Reynolds American Inc.","Consumer Goods","Cigarettes","USA",26627.64,17.72,48.74,-0.63%,1478271
387,"RDC","Rowan Companies Inc.","Basic Materials","Oil & Gas Drilling & Exploration","USA",4449.56,18.00,36.00,-0.88%,1325289
388,"REGN","Regeneron Pharmaceuticals, Inc.","Healthcare","Biotechnology","USA",27508.41,37.59,281.56,-2.13%,1444991
389,"RF","Regions Financial Corp.","Financial","Regional - Southeast Banks","USA",13001.28,11.32,9.28,0.65%,14863429
